District,District_Key,State_Code,State,Confirmed,Active,Recovered,Deceased,Migrated_Other
Washim,MH_Washim,MH,Maharashtra,41360,304,40423,630,3
Yavatmal,MH_Yavatmal,MH,Maharashtra,75936,89,74107,1736,4
East Garo Hills,ML_East Garo Hills,ML,Meghalaya,1298,246,1046,6,0
East Jaintia Hills,ML_East Jaintia Hills,ML,Meghalaya,1735,115,1601,19,0
East Khasi Hills,ML_East Khasi Hills,ML,Meghalaya,26563,1356,24585,622,0
North Garo Hills,ML_North Garo Hills,ML,Meghalaya,1098,255,837,6,0
Ribhoi,ML_Ribhoi,ML,Meghalaya,5520,585,4902,33,0
South Garo Hills,ML_South Garo Hills,ML,Meghalaya,800,82,714,4,0
South West Garo Hills,ML_South West Garo Hills,ML,Meghalaya,1475,110,1353,12,0
South West Khasi Hills,ML_South West Khasi Hills,ML,Meghalaya,1074,173,896,5,0
West Garo Hills,ML_West Garo Hills,ML,Meghalaya,5142,519,4582,41,0
West Jaintia Hills,ML_West Jaintia Hills,ML,Meghalaya,3619,616,2927,76,0
West Khasi Hills,ML_West Khasi Hills,ML,Meghalaya,1189,159,1016,14,0
CAPF Personnel,MN_CAPF Personnel,MN,Manipur,3013,1330,1681,2,0
Bishnupur,MN_Bishnupur,MN,Manipur,4221,4087,58,76,0
Chandel,MN_Chandel,MN,Manipur,843,823,4,16,0
Churachandpur,MN_Churachandpur,MN,Manipur,4917,4772,58,87,0
Imphal East,MN_Imphal East,MN,Manipur,14570,14141,150,279,0
Imphal West,MN_Imphal West,MN,Manipur,23100,22680,52,368,0
Jiribam,MN_Jiribam,MN,Manipur,677,673,2,2,0
Kakching,MN_Kakching,MN,Manipur,3340,3253,27,60,0
Kamjong,MN_Kamjong,MN,Manipur,379,360,17,2,0
Kangpokpi,MN_Kangpokpi,MN,Manipur,1196,1152,19,25,0
Noney,MN_Noney,MN,Manipur,478,457,18,3,0
Pherzawl,MN_Pherzawl,MN,Manipur,110,95,15,0,0
Senapati,MN_Senapati,MN,Manipur,1114,1088,21,5,0
Tamenglong,MN_Tamenglong,MN,Manipur,2010,1968,32,10,0
Tengnoupal,MN_Tengnoupal,MN,Manipur,625,609,13,3,0
Thoubal,MN_Thoubal,MN,Manipur,5589,5469,23,97,0
Ukhrul,MN_Ukhrul,MN,Manipur,1220,1187,18,15,0
Agar Malwa,MP_Agar Malwa,MP,Madhya Pradesh,3303,6,3234,63,0
Alirajpur,MP_Alirajpur,MP,Madhya Pradesh,3501,2,3452,47,0
Anuppur,MP_Anuppur,MP,Madhya Pradesh,9229,4,9136,89,0
Ashoknagar,MP_Ashoknagar,MP,Madhya Pradesh,3655,0,3612,43,0
Balaghat,MP_Balaghat,MP,Madhya Pradesh,9080,5,9011,64,0
Barwani,MP_Barwani,MP,Madhya Pradesh,8355,10,8255,90,0
Betul,MP_Betul,MP,Madhya Pradesh,12871,21,12583,267,0
Bhind,MP_Bhind,MP,Madhya Pradesh,2992,1,2959,32,0
Bhopal,MP_Bhopal,MP,Madhya Pradesh,123123,146,122005,972,0
Burhanpur,MP_Burhanpur,MP,Madhya Pradesh,2568,0,2529,39,0
Chhatarpur,MP_Chhatarpur,MP,Madhya Pradesh,7597,1,7505,91,0
Chhindwara,MP_Chhindwara,MP,Madhya Pradesh,6731,5,6606,120,0
Damoh,MP_Damoh,MP,Madhya Pradesh,8093,74,7839,180,0
Datia,MP_Datia,MP,Madhya Pradesh,6953,8,6867,78,0
Dewas,MP_Dewas,MP,Madhya Pradesh,7723,0,7672,51,0
Dhar,MP_Dhar,MP,Madhya Pradesh,12520,9,12381,130,0
Dindori,MP_Dindori,MP,Madhya Pradesh,4618,3,4586,29,0
Guna,MP_Guna,MP,Madhya Pradesh,5131,3,5084,44,0
Gwalior,MP_Gwalior,MP,Madhya Pradesh,53062,10,52419,633,0
Harda,MP_Harda,MP,Madhya Pradesh,5052,7,4950,95,0
Hoshangabad,MP_Hoshangabad,MP,Madhya Pradesh,10669,9,10561,99,0
Indore,MP_Indore,MP,Madhya Pradesh,152833,112,151331,1390,0
Jabalpur,MP_Jabalpur,MP,Madhya Pradesh,50566,12,49889,665,0
Jhabua,MP_Jhabua,MP,Madhya Pradesh,7685,2,7619,64,0
Katni,MP_Katni,MP,Madhya Pradesh,9362,1,9241,120,0
Khandwa,MP_Khandwa,MP,Madhya Pradesh,4040,0,3946,94,0
Khargone,MP_Khargone,MP,Madhya Pradesh,13956,4,13713,239,0
Mandla,MP_Mandla,MP,Madhya Pradesh,5184,0,5159,25,0
Mandsaur,MP_Mandsaur,MP,Madhya Pradesh,8636,4,8548,84,0
Morena,MP_Morena,MP,Madhya Pradesh,8231,2,8134,95,0
Narsinghpur,MP_Narsinghpur,MP,Madhya Pradesh,11197,7,11109,81,0
Neemuch,MP_Neemuch,MP,Madhya Pradesh,7915,7,7824,84,0
Niwari,MP_Niwari,MP,Madhya Pradesh,3704,4,3652,48,0
Other Region,MP_Other Region,MP,Madhya Pradesh,0,0,0,0,0
Panna,MP_Panna,MP,Madhya Pradesh,7313,7,7243,63,0
Raisen,MP_Raisen,MP,Madhya Pradesh,9226,13,9019,194,0
Rajgarh,MP_Rajgarh,MP,Madhya Pradesh,8668,23,8478,167,0
Ratlam,MP_Ratlam,MP,Madhya Pradesh,17833,23,17425,385,0
Rewa,MP_Rewa,MP,Madhya Pradesh,16428,13,16260,155,0
Sagar,MP_Sagar,MP,Madhya Pradesh,16546,15,16151,380,0
Satna,MP_Satna,MP,Madhya Pradesh,11962,2,11827,133,0
Sehore,MP_Sehore,MP,Madhya Pradesh,10131,4,10057,70,0
Seoni,MP_Seoni,MP,Madhya Pradesh,6767,8,6731,28,0
Shahdol,MP_Shahdol,MP,Madhya Pradesh,10079,6,9955,118,0
Shajapur,MP_Shajapur,MP,Madhya Pradesh,6348,11,6271,66,0
Sheopur,MP_Sheopur,MP,Madhya Pradesh,3998,1,3919,78,0
Shivpuri,MP_Shivpuri,MP,Madhya Pradesh,12386,4,12257,125,0
Sidhi,MP_Sidhi,MP,Madhya Pradesh,9219,0,9132,87,0
Singrauli,MP_Singrauli,MP,Madhya Pradesh,8788,2,8704,82,0
Tikamgarh,MP_Tikamgarh,MP,Madhya Pradesh,6856,3,6740,113,0
Ujjain,MP_Ujjain,MP,Madhya Pradesh,18892,12,18708,172,0
Umaria,MP_Umaria,MP,Madhya Pradesh,6287,2,6222,63,0
Vidisha,MP_Vidisha,MP,Madhya Pradesh,11909,2,11677,230,0
Aizawl,MZ_Aizawl,MZ,Mizoram,14020,2895,11046,79,0
Champhai,MZ_Champhai,MZ,Mizoram,258,20,237,1,0
Hnahthial,MZ_Hnahthial,MZ,Mizoram,64,32,32,0,0
Khawzawl,MZ_Khawzawl,MZ,Mizoram,97,5,92,0,0
Kolasib,MZ_Kolasib,MZ,Mizoram,1346,325,1015,6,0
Lawngtlai,MZ_Lawngtlai,MZ,Mizoram,1425,252,1173,0,0
Lunglei,MZ_Lunglei,MZ,Mizoram,1370,181,1189,0,0
Mamit,MZ_Mamit,MZ,Mizoram,296,41,253,2,0
Saiha,MZ_Saiha,MZ,Mizoram,337,80,257,0,0
Saitual,MZ_Saitual,MZ,Mizoram,165,11,152,2,0
Serchhip,MZ_Serchhip,MZ,Mizoram,697,34,660,3,0
Others,NL_Others,NL,Nagaland,0,0,0,0,0
Dimapur,NL_Dimapur,NL,Nagaland,12319,339,11161,317,502
Kiphire,NL_Kiphire,NL,Nagaland,165,23,134,7,1
Kohima,NL_Kohima,NL,Nagaland,7557,385,6977,83,112
Longleng,NL_Longleng,NL,Nagaland,150,15,122,2,11
Mokokchung,NL_Mokokchung,NL,Nagaland,1352,263,1018,31,40
Mon,NL_Mon,NL,Nagaland,997,63,910,9,15
Peren,NL_Peren,NL,Nagaland,685,73,608,1,3
Phek,NL_Phek,NL,Nagaland,381,33,328,17,3
Tuensang,NL_Tuensang,NL,Nagaland,821,104,707,7,3
Wokha,NL_Wokha,NL,Nagaland,215,23,181,6,5
Zunheboto,NL_Zunheboto,NL,Nagaland,469,60,388,13,8
State Pool,OR_State Pool,OR,Odisha,23550,865,22685,0,0
Others,OR_Others,OR,Odisha,0,0,0,0,0
Angul,OR_Angul,OR,Odisha,40256,716,39365,175,0
Balangir,OR_Balangir,OR,Odisha,22889,191,22616,82,0
Balasore,OR_Balasore,OR,Odisha,33572,2983,30453,136,0
Bargarh,OR_Bargarh,OR,Odisha,30168,391,29639,138,0
Bhadrak,OR_Bhadrak,OR,Odisha,22548,1636,20858,54,0
Boudh,OR_Boudh,OR,Odisha,12196,282,11831,83,0
Cuttack,OR_Cuttack,OR,Odisha,76652,4116,72247,289,0
Deogarh,OR_Deogarh,OR,Odisha,5991,46,5913,32,0
Dhenkanal,OR_Dhenkanal,OR,Odisha,17366,723,16579,64,0
Gajapati,OR_Gajapati,OR,Odisha,9256,122,9063,71,0
Ganjam,OR_Ganjam,OR,Odisha,33046,138,32563,345,0
Jagatsinghpur,OR_Jagatsinghpur,OR,Odisha,22280,1146,21060,74,0
Jajpur,OR_Jajpur,OR,Odisha,36886,2566,34278,42,0
Jharsuguda,OR_Jharsuguda,OR,Odisha,23308,110,23076,122,0
Kalahandi,OR_Kalahandi,OR,Odisha,23799,258,23370,171,0
Kandhamal,OR_Kandhamal,OR,Odisha,10722,318,10356,48,0
Kendrapara,OR_Kendrapara,OR,Odisha,20581,962,19537,82,0
Kendujhar,OR_Kendujhar,OR,Odisha,18976,514,18392,70,0
Khordha,OR_Khordha,OR,Odisha,135559,5203,129699,657,0
Koraput,OR_Koraput,OR,Odisha,18071,795,17218,58,0
Malkangiri,OR_Malkangiri,OR,Odisha,10550,612,9895,43,0
Mayurbhanj,OR_Mayurbhanj,OR,Odisha,35528,1604,33793,131,0
Nabarangapur,OR_Nabarangapur,OR,Odisha,23018,347,22625,46,0
Nayagarh,OR_Nayagarh,OR,Odisha,20309,1227,18986,96,0
Nuapada,OR_Nuapada,OR,Odisha,22614,82,22463,69,0
Puri,OR_Puri,OR,Odisha,39621,1841,37548,232,0
Rayagada,OR_Rayagada,OR,Odisha,18965,515,18306,144,0
Sambalpur,OR_Sambalpur,OR,Odisha,29734,234,29381,119,0
Subarnapur,OR_Subarnapur,OR,Odisha,12700,239,12420,41,0
Sundargarh,OR_Sundargarh,OR,Odisha,59089,640,58092,357,0
Amritsar,PB_Amritsar,PB,Punjab,46707,294,44849,1564,0
Barnala,PB_Barnala,PB,Punjab,5859,74,5549,236,0
Bathinda,PB_Bathinda,PB,Punjab,41160,308,39832,1020,0
Faridkot,PB_Faridkot,PB,Punjab,13689,169,13216,304,0
Fatehgarh Sahib,PB_Fatehgarh Sahib,PB,Punjab,8690,42,8382,266,0
Fazilka,PB_Fazilka,PB,Punjab,19971,213,19242,516,0
Ferozepur,PB_Ferozepur,PB,Punjab,14040,142,13426,472,0
Gurdaspur,PB_Gurdaspur,PB,Punjab,22056,175,21088,793,0
Hoshiarpur,PB_Hoshiarpur,PB,Punjab,30437,167,29306,964,0
Jalandhar,PB_Jalandhar,PB,Punjab,62704,263,60964,1477,0
Kapurthala,PB_Kapurthala,PB,Punjab,17577,91,16950,536,0
Ludhiana,PB_Ludhiana,PB,Punjab,86949,345,84517,2087,0
Mansa,PB_Mansa,PB,Punjab,15470,108,15087,275,0
Moga,PB_Moga,PB,Punjab,8551,24,8299,228,0
Pathankot,PB_Pathankot,PB,Punjab,18485,100,17976,409,0
Patiala,PB_Patiala,PB,Punjab,48468,170,46967,1331,0
Rupnagar,PB_Rupnagar,PB,Punjab,12829,33,12382,414,0
S.A.S. Nagar,PB_S.A.S. Nagar,PB,Punjab,68234,265,66922,1047,0
Sangrur,PB_Sangrur,PB,Punjab,15577,138,14582,857,0
Shahid Bhagat Singh Nagar,PB_Shahid Bhagat Singh Nagar,PB,Punjab,11387,21,11010,356,0
Sri Muktsar Sahib,PB_Sri Muktsar Sahib,PB,Punjab,18599,135,17947,517,0
Tarn Taran,PB_Tarn Taran,PB,Punjab,7912,70,7478,364,0
Karaikal,PY_Karaikal,PY,Puducherry,14533,318,13997,218,0
Mahe,PY_Mahe,PY,Puducherry,4526,92,4401,33,0
Puducherry,PY_Puducherry,PY,Puducherry,91674,1878,88400,1396,0
Yanam,PY_Yanam,PY,Puducherry,6516,66,6348,102,0
Ajmer,RJ_Ajmer,RJ,Rajasthan,37669,20,37239,410,0
Alwar,RJ_Alwar,RJ,Rajasthan,59461,419,58738,304,0
Banswara,RJ_Banswara,RJ,Rajasthan,9989,2,9885,102,0
Baran,RJ_Baran,RJ,Rajasthan,11988,4,11923,61,0
Barmer,RJ_Barmer,RJ,Rajasthan,15508,21,15302,185,0
Bharatpur,RJ_Bharatpur,RJ,Rajasthan,19571,10,19302,259,0
Bhilwara,RJ_Bhilwara,RJ,Rajasthan,29765,13,29596,156,0
Bikaner,RJ_Bikaner,RJ,Rajasthan,40258,55,39661,542,0
BSF Camp,RJ_BSF Camp,RJ,Rajasthan,85,0,85,0,0
Bundi,RJ_Bundi,RJ,Rajasthan,7966,0,7919,47,0
Chittorgarh,RJ_Chittorgarh,RJ,Rajasthan,19799,20,19642,137,0
Churu,RJ_Churu,RJ,Rajasthan,16706,16,16583,107,0
Dausa,RJ_Dausa,RJ,Rajasthan,13312,14,13238,60,0
Dholpur,RJ_Dholpur,RJ,Rajasthan,11004,5,10951,48,0
Dungarpur,RJ_Dungarpur,RJ,Rajasthan,18404,2,18271,131,0
Evacuees,RJ_Evacuees,RJ,Rajasthan,61,0,61,0,0
Ganganagar,RJ_Ganganagar,RJ,Rajasthan,19277,78,19052,147,0
Hanumangarh,RJ_Hanumangarh,RJ,Rajasthan,16006,46,15849,111,0
Italians,RJ_Italians,RJ,Rajasthan,2,0,2,0,0
Jaipur,RJ_Jaipur,RJ,Rajasthan,187181,289,184923,1969,0
Jaisalmer,RJ_Jaisalmer,RJ,Rajasthan,13623,12,13545,66,0
Jalore,RJ_Jalore,RJ,Rajasthan,10060,2,9986,72,0
Jhalawar,RJ_Jhalawar,RJ,Rajasthan,13593,23,13383,187,0
Jhunjhunu,RJ_Jhunjhunu,RJ,Rajasthan,14788,31,14599,158,0
Jodhpur,RJ_Jodhpur,RJ,Rajasthan,112275,130,111042,1103,0
Karauli,RJ_Karauli,RJ,Rajasthan,7151,12,7069,70,0
Kota,RJ_Kota,RJ,Rajasthan,57032,19,56564,449,0
Nagaur,RJ_Nagaur,RJ,Rajasthan,17681,45,17460,176,0
Other State,RJ_Other State,RJ,Rajasthan,189,0,150,39,0
Pali,RJ_Pali,RJ,Rajasthan,27299,25,26987,287,0
Pratapgarh,RJ_Pratapgarh,RJ,Rajasthan,7135,19,7055,61,0
Rajsamand,RJ_Rajsamand,RJ,Rajasthan,17017,19,16829,169,0
Sawai Madhopur,RJ_Sawai Madhopur,RJ,Rajasthan,10592,15,10516,61,0
Sikar,RJ_Sikar,RJ,Rajasthan,30538,81,30122,335,0
Sirohi,RJ_Sirohi,RJ,Rajasthan,13711,29,13603,79,0
Tonk,RJ_Tonk,RJ,Rajasthan,9456,30,9334,92,0
Udaipur,RJ_Udaipur,RJ,Rajasthan,56170,59,55373,738,0
East Sikkim,SK_East Sikkim,SK,Sikkim,13093,7950,4917,148,78
North Sikkim,SK_North Sikkim,SK,Sikkim,666,584,72,1,9
South Sikkim,SK_South Sikkim,SK,Sikkim,4173,3718,438,2,15
West Sikkim,SK_West Sikkim,SK,Sikkim,2680,2499,137,19,25
Foreign Evacuees,TG_Foreign Evacuees,TG,Telangana,33,33,0,0,0
Other State,TG_Other State,TG,Telangana,250,250,0,0,0
Adilabad,TG_Adilabad,TG,Telangana,6950,6935,15,0,0
Bhadradri Kothagudem,TG_Bhadradri Kothagudem,TG,Telangana,17303,17299,4,0,0
Hyderabad,TG_Hyderabad,TG,Telangana,133475,133147,305,23,0
Jagtial,TG_Jagtial,TG,Telangana,16005,16003,2,0,0
Jangaon,TG_Jangaon,TG,Telangana,7185,7184,1,0,0
Jayashankar Bhupalapally,TG_Jayashankar Bhupalapally,TG,Telangana,6340,6340,0,0,0
Jogulamba Gadwal,TG_Jogulamba Gadwal,TG,Telangana,7058,7032,25,1,0
Kamareddy,TG_Kamareddy,TG,Telangana,11414,11406,8,0,0
Karimnagar,TG_Karimnagar,TG,Telangana,26903,26887,16,0,0
Khammam,TG_Khammam,TG,Telangana,24633,24630,3,0,0
Komaram Bheem,TG_Komaram Bheem,TG,Telangana,4331,4329,2,0,0
Mahabubabad,TG_Mahabubabad,TG,Telangana,12080,12079,1,0,0
Mahabubnagar,TG_Mahabubnagar,TG,Telangana,15866,15858,8,0,0
Mancherial,TG_Mancherial,TG,Telangana,14602,14601,0,1,0
Medak,TG_Medak,TG,Telangana,8215,8211,4,0,0
Medchal Malkajgiri,TG_Medchal Malkajgiri,TG,Telangana,43644,43634,9,1,0
Mulugu,TG_Mulugu,TG,Telangana,6123,6121,2,0,0
Nagarkurnool,TG_Nagarkurnool,TG,Telangana,12001,11999,2,0,0
Nalgonda,TG_Nalgonda,TG,Telangana,26769,26757,12,0,0
Narayanpet,TG_Narayanpet,TG,Telangana,3205,3204,0,1,0
Nirmal,TG_Nirmal,TG,Telangana,7120,7107,13,0,0
Nizamabad,TG_Nizamabad,TG,Telangana,20480,20450,30,0,0
Peddapalli,TG_Peddapalli,TG,Telangana,13796,13795,1,0,0
Rajanna Sircilla,TG_Rajanna Sircilla,TG,Telangana,11095,11093,2,0,0
Ranga Reddy,TG_Ranga Reddy,TG,Telangana,47007,46988,17,2,0
Sangareddy,TG_Sangareddy,TG,Telangana,18684,18678,6,0,0
Siddipet,TG_Siddipet,TG,Telangana,18389,18388,1,0,0
Suryapet,TG_Suryapet,TG,Telangana,15961,15937,24,0,0
Vikarabad,TG_Vikarabad,TG,Telangana,10772,10756,15,1,0
Wanaparthy,TG_Wanaparthy,TG,Telangana,9426,9426,0,0,0
Warangal Rural,TG_Warangal Rural,TG,Telangana,9921,9921,0,0,0
Warangal Urban,TG_Warangal Urban,TG,Telangana,24038,24015,23,0,0
Yadadri Bhuvanagiri,TG_Yadadri Bhuvanagiri,TG,Telangana,10464,10464,0,0,0
Railway Quarantine,TN_Railway Quarantine,TN,Tamil Nadu,428,0,428,0,0
Airport Quarantine,TN_Airport Quarantine,TN,Tamil Nadu,2080,2,2076,2,0
Other State,TN_Other State,TN,Tamil Nadu,0,0,0,0,0
Ariyalur,TN_Ariyalur,TN,Tamil Nadu,14806,557,14043,206,0
Chengalpattu,TN_Chengalpattu,TN,Tamil Nadu,156677,2191,152134,2352,0
Chennai,TN_Chennai,TN,Tamil Nadu,532272,3307,520793,8172,0
Coimbatore,TN_Coimbatore,TN,Tamil Nadu,218990,4676,212285,2029,0
Cuddalore,TN_Cuddalore,TN,Tamil Nadu,57842,1042,56042,758,0
Dharmapuri,TN_Dharmapuri,TN,Tamil Nadu,24388,793,23390,205,0
Dindigul,TN_Dindigul,TN,Tamil Nadu,31561,307,30666,588,0
Erode,TN_Erode,TN,Tamil Nadu,89212,4163,84461,588,0
Kallakurichi,TN_Kallakurichi,TN,Tamil Nadu,26949,984,25771,194,0
Kancheepuram,TN_Kancheepuram,TN,Tamil Nadu,70164,597,68394,1173,0
Kanyakumari,TN_Kanyakumari,TN,Tamil Nadu,58886,485,57419,982,0
Karur,TN_Karur,TN,Tamil Nadu,21997,593,21062,342,0
Krishnagiri,TN_Krishnagiri,TN,Tamil Nadu,39761,1045,38414,302,0
Madurai,TN_Madurai,TN,Tamil Nadu,72211,627,70479,1105,0
Nagapattinam,TN_Nagapattinam,TN,Tamil Nadu,17805,287,17252,266,0
Namakkal,TN_Namakkal,TN,Tamil Nadu,44499,1727,42354,418,0
Nilgiris,TN_Nilgiris,TN,Tamil Nadu,28266,654,27448,164,0
Perambalur,TN_Perambalur,TN,Tamil Nadu,11034,264,10573,197,0
Pudukkottai,TN_Pudukkottai,TN,Tamil Nadu,26900,576,26003,321,0
Ramanathapuram,TN_Ramanathapuram,TN,Tamil Nadu,19605,258,19017,330,0
Ranipet,TN_Ranipet,TN,Tamil Nadu,40848,647,39484,717,0
Salem,TN_Salem,TN,Tamil Nadu,87569,2021,84085,1463,0
Sivaganga,TN_Sivaganga,TN,Tamil Nadu,17624,619,16816,189,0
Tenkasi,TN_Tenkasi,TN,Tamil Nadu,26399,269,25666,464,0
Thanjavur,TN_Thanjavur,TN,Tamil Nadu,63378,1992,60681,705,0
Theni,TN_Theni,TN,Tamil Nadu,42274,474,41309,491,0
Thiruvallur,TN_Thiruvallur,TN,Tamil Nadu,110920,853,108364,1703,0
Thiruvarur,TN_Thiruvarur,TN,Tamil Nadu,36743,613,35805,325,0
Thoothukkudi,TN_Thoothukkudi,TN,Tamil Nadu,54256,319,53560,377,0
Tiruchirappalli,TN_Tiruchirappalli,TN,Tamil Nadu,69039,1033,67104,902,0
Tirunelveli,TN_Tirunelveli,TN,Tamil Nadu,47165,359,46396,410,0
Tirupathur,TN_Tirupathur,TN,Tamil Nadu,27527,410,26546,571,0
Tiruppur,TN_Tiruppur,TN,Tamil Nadu,82103,1722,79631,750,0
Tiruvannamalai,TN_Tiruvannamalai,TN,Tamil Nadu,49140,1001,47543,596,0
Vellore,TN_Vellore,TN,Tamil Nadu,46876,491,45343,1042,0
Viluppuram,TN_Viluppuram,TN,Tamil Nadu,42399,460,41609,330,0
Virudhunagar,TN_Virudhunagar,TN,Tamil Nadu,44464,616,43321,527,0
Mayiladuthurai,TN_Mayiladuthurai,TN,Tamil Nadu,20133,301,19582,250,0
Dhalai,TR_Dhalai,TR,Tripura,5626,400,5194,31,1
Gomati,TR_Gomati,TR,Tripura,5899,371,5465,62,1
Khowai,TR_Khowai,TR,Tripura,3550,274,3232,44,0
North Tripura,TR_North Tripura,TR,Tripura,5776,508,5236,25,7
Sipahijala,TR_Sipahijala,TR,Tripura,5284,216,4998,70,0
South Tripura,TR_South Tripura,TR,Tripura,7598,373,7183,39,3
Unokoti,TR_Unokoti,TR,Tripura,5842,403,5395,44,0
West Tripura,TR_West Tripura,TR,Tripura,26192,1075,24747,359,11
Agra,UP_Agra,UP,Uttar Pradesh,25703,66,25183,454,0
Aligarh,UP_Aligarh,UP,Uttar Pradesh,21269,18,21143,108,0
Ambedkar Nagar,UP_Ambedkar Nagar,UP,Uttar Pradesh,5021,33,4840,148,0
Amethi,UP_Amethi,UP,Uttar Pradesh,9945,33,9788,124,0
Amroha,UP_Amroha,UP,Uttar Pradesh,16596,6,16387,203,0
Auraiya,UP_Auraiya,UP,Uttar Pradesh,10070,22,9852,196,0
Ayodhya,UP_Ayodhya,UP,Uttar Pradesh,16884,11,16583,290,0
Azamgarh,UP_Azamgarh,UP,Uttar Pradesh,17850,46,17579,225,0
Baghpat,UP_Baghpat,UP,Uttar Pradesh,9093,23,8931,139,0
Bahraich,UP_Bahraich,UP,Uttar Pradesh,11519,33,11308,178,0
Ballia,UP_Ballia,UP,Uttar Pradesh,21595,10,21353,232,0
Balrampur,UP_Balrampur,UP,Uttar Pradesh,7476,18,7321,137,0
Banda,UP_Banda,UP,Uttar Pradesh,10972,20,10800,152,0
Barabanki,UP_Barabanki,UP,Uttar Pradesh,19796,23,19550,223,0
Bareilly,UP_Bareilly,UP,Uttar Pradesh,43922,81,43467,374,0
Basti,UP_Basti,UP,Uttar Pradesh,11701,17,11354,330,0
Bhadohi,UP_Bhadohi,UP,Uttar Pradesh,7709,12,7535,162,0
Bijnor,UP_Bijnor,UP,Uttar Pradesh,14776,18,14651,107,0
Budaun,UP_Budaun,UP,Uttar Pradesh,14904,10,14796,98,0
Bulandshahr,UP_Bulandshahr,UP,Uttar Pradesh,20133,63,19833,237,0
Chandauli,UP_Chandauli,UP,Uttar Pradesh,16175,11,15810,354,0
Chitrakoot,UP_Chitrakoot,UP,Uttar Pradesh,7099,4,7016,79,0
Deoria,UP_Deoria,UP,Uttar Pradesh,20172,36,19918,218,0
Etah,UP_Etah,UP,Uttar Pradesh,9959,54,9811,94,0
Etawah,UP_Etawah,UP,Uttar Pradesh,13931,20,13619,292,0
Farrukhabad,UP_Farrukhabad,UP,Uttar Pradesh,10328,9,10126,193,0
Fatehpur,UP_Fatehpur,UP,Uttar Pradesh,6787,11,6638,138,0
Firozabad,UP_Firozabad,UP,Uttar Pradesh,8699,21,8543,135,0
Gautam Buddha Nagar,UP_Gautam Buddha Nagar,UP,Uttar Pradesh,63050,73,62511,466,0
Ghaziabad,UP_Ghaziabad,UP,Uttar Pradesh,55533,35,55037,461,0
Ghazipur,UP_Ghazipur,UP,Uttar Pradesh,21584,43,21270,271,0
Gonda,UP_Gonda,UP,Uttar Pradesh,12251,36,11957,258,0
Gorakhpur,UP_Gorakhpur,UP,Uttar Pradesh,59274,49,58383,842,0
Hamirpur,UP_Hamirpur,UP,Uttar Pradesh,5217,10,5105,102,0
Hapur,UP_Hapur,UP,Uttar Pradesh,12592,17,12359,216,0
Hardoi,UP_Hardoi,UP,Uttar Pradesh,13737,27,13363,347,0
Hathras,UP_Hathras,UP,Uttar Pradesh,2911,15,2853,43,0
Jalaun,UP_Jalaun,UP,Uttar Pradesh,11649,18,11431,200,0
Jaunpur,UP_Jaunpur,UP,Uttar Pradesh,22530,45,22253,232,0
Jhansi,UP_Jhansi,UP,Uttar Pradesh,36506,20,35825,661,0
Kannauj,UP_Kannauj,UP,Uttar Pradesh,9201,14,9074,113,0
Kanpur Dehat,UP_Kanpur Dehat,UP,Uttar Pradesh,6161,8,6043,110,0
Kanpur Nagar,UP_Kanpur Nagar,UP,Uttar Pradesh,82755,56,80800,1899,0
Kasganj,UP_Kasganj,UP,Uttar Pradesh,4245,9,4183,53,0
Kaushambi,UP_Kaushambi,UP,Uttar Pradesh,4406,5,4333,68,0
Kushinagar,UP_Kushinagar,UP,Uttar Pradesh,15573,144,15204,225,0
Lakhimpur Kheri,UP_Lakhimpur Kheri,UP,Uttar Pradesh,24368,93,23988,287,0
Lalitpur,UP_Lalitpur,UP,Uttar Pradesh,12730,21,12584,125,0
Lucknow,UP_Lucknow,UP,Uttar Pradesh,238287,259,235384,2644,0
Maharajganj,UP_Maharajganj,UP,Uttar Pradesh,12349,11,12204,134,0
Mahoba,UP_Mahoba,UP,Uttar Pradesh,4264,0,4178,86,0
Mainpuri,UP_Mainpuri,UP,Uttar Pradesh,9997,91,9731,175,0
Mathura,UP_Mathura,UP,Uttar Pradesh,20249,77,19808,364,0
Mau,UP_Mau,UP,Uttar Pradesh,8308,23,8205,80,0
Meerut,UP_Meerut,UP,Uttar Pradesh,69332,116,68320,896,0
Mirzapur,UP_Mirzapur,UP,Uttar Pradesh,11064,16,10937,111,0
Moradabad,UP_Moradabad,UP,Uttar Pradesh,39053,17,38688,348,0
Muzaffarnagar,UP_Muzaffarnagar,UP,Uttar Pradesh,30935,121,30547,267,0
Pilibhit,UP_Pilibhit,UP,Uttar Pradesh,11016,20,10810,186,0
Pratapgarh,UP_Pratapgarh,UP,Uttar Pradesh,16004,24,15819,161,0
Prayagraj,UP_Prayagraj,UP,Uttar Pradesh,78369,152,77156,1061,0
Rae Bareli,UP_Rae Bareli,UP,Uttar Pradesh,17042,89,16634,319,0
Rampur,UP_Rampur,UP,Uttar Pradesh,11790,26,11618,146,0
Saharanpur,UP_Saharanpur,UP,Uttar Pradesh,32740,42,32281,417,0
Sambhal,UP_Sambhal,UP,Uttar Pradesh,9443,14,9324,105,0
Sant Kabir Nagar,UP_Sant Kabir Nagar,UP,Uttar Pradesh,8147,24,8026,97,0
Shahjahanpur,UP_Shahjahanpur,UP,Uttar Pradesh,20332,19,19890,423,0
Shamli,UP_Shamli,UP,Uttar Pradesh,12953,42,12866,45,0
Shrawasti,UP_Shrawasti,UP,Uttar Pradesh,4383,8,4340,35,0
